StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5,Q6,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Genre Familiarity,Expertness - Novice generation,Expertness - LoRA generation,Expertness - Retrieval augmented generation,Musicality - Novice generation,Musicality - LoRA generation,Musicality - Retrieval augmented generation,Production Quality - Novice generation,Production Quality - LoRA generation,Production Quality - Retrieval augmented generation,Preference - Novice generation,Preference - LoRA generation,Preference - Retrieval augmented generation,Text-to-Music Consistency,Random Number,Prompt ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID17_TEXT""}"
2025-03-03 13:51:10,2025-03-03 13:56:21,0,216.165.95.171,100,311,1,2025-03-03 13:56:22,R_6je72O0vqWZ4Iom,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,1,2,3,2,1,3,1,2,1,685443,4
2025-03-03 13:56:24,2025-03-03 13:58:12,0,216.165.95.171,100,107,1,2025-03-03 13:58:12,R_3RsABEUuZzLbtVz,,,,,40.7359,-73.9904,anonymous,EN,3,2,3,1,2,3,1,3,2,1,3,2,1,2,685443,5
2025-03-03 13:58:13,2025-03-03 14:00:14,0,216.165.95.171,100,121,1,2025-03-03 14:00:15,R_3iD4RcOyoRs8YXC,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,1,2,3,2,1,3,1,2,4,685443,6
2025-03-03 13:54:24,2025-03-03 14:00:35,0,216.165.95.187,100,370,1,2025-03-03 14:00:35,R_3mK5YpHVwSpLG0z,,,,,40.7359,-73.9904,anonymous,EN,2,3,2,1,3,1,2,3,2,1,3,1,2,4,638296,3
2025-03-03 14:00:17,2025-03-03 14:20:29,0,216.165.95.171,100,1211,1,2025-03-03 14:20:29,R_1MsqDqHcDprb3HR,,,,,40.7359,-73.9904,anonymous,EN,2,1,3,2,2,3,1,1,2,3,1,3,2,4,24904,4
2025-03-03 14:20:32,2025-03-03 14:23:36,0,216.165.95.171,100,184,1,2025-03-03 14:23:36,R_6DoRQ0j3jbm26iE,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,1,2,3,1,2,2,1,3,3,24904,5
2025-03-03 14:25:20,2025-03-03 14:28:38,0,216.165.95.171,100,198,1,2025-03-03 14:28:38,R_1gM5x40JPEsFmHn,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,1,2,3,2,1,2,24904,6
2025-03-03 14:01:45,2025-03-03 14:30:02,0,216.165.95.187,100,1696,1,2025-03-03 14:30:02,R_6nU9mv4OmEABAVw,,,,,40.7359,-73.9904,anonymous,EN,1,1,2,3,2,1,3,2,1,3,2,1,3,4,23205,3
2025-03-03 14:47:50,2025-03-03 14:50:57,0,216.165.95.171,100,186,1,2025-03-03 14:50:57,R_6AFO2jALKwNwteC,,,,,40.7359,-73.9904,anonymous,EN,2,3,1,2,3,2,1,3,2,1,3,1,2,4,331413,4
2025-03-03 14:51:13,2025-03-03 14:53:15,0,216.165.95.171,100,122,1,2025-03-03 14:53:16,R_1Lio864pOoydIeW,,,,,40.7359,-73.9904,anonymous,EN,1,3,1,2,3,1,2,3,2,1,3,1,2,4,331413,5
2025-03-03 14:54:09,2025-03-03 14:55:01,0,216.165.95.171,100,51,1,2025-03-03 14:55:01,R_7elEe5BW1WpxEGZ,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,2,1,3,2,1,4,331413,6
2025-03-03 14:30:22,2025-03-03 14:57:01,0,216.165.95.187,100,1599,1,2025-03-03 14:57:02,R_7CJymS04TJNEHjP,,,,,40.7359,-73.9904,anonymous,EN,3,2,3,1,1,2,3,2,3,1,1,2,3,1,6839,3
2025-03-03 14:55:02,2025-03-03 15:22:54,0,216.165.95.171,100,1671,1,2025-03-03 15:22:54,R_3Wx0oBLOI7znDVk,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,3,46321,4
2025-03-03 15:22:56,2025-03-03 15:26:11,0,216.165.95.171,100,195,1,2025-03-03 15:26:12,R_10zXlMVCZPplQFb,,,,,40.7359,-73.9904,anonymous,EN,2,2,1,3,2,1,3,2,1,3,2,1,3,3,46321,5
2025-03-03 14:58:54,2025-03-03 15:27:59,0,216.165.95.187,100,1744,1,2025-03-03 15:27:59,R_52MkDkybLxYXirr,,,,,40.7359,-73.9904,anonymous,EN,1,3,1,2,2,1,3,2,1,3,3,1,2,1,917494,3
2025-03-03 15:26:34,2025-03-03 15:28:40,0,216.165.95.171,100,125,1,2025-03-03 15:28:41,R_1o7GOCppdWgiWMp,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,4,46321,6
2025-03-03 15:28:41,2025-03-03 15:54:25,0,216.165.95.171,100,1544,1,2025-03-03 15:54:26,R_7aAQvBbZiUW2kff,,,,,40.7359,-73.9904,anonymous,EN,1,3,2,1,3,1,2,3,2,1,3,2,1,4,190926,4
2025-03-03 15:54:27,2025-03-03 15:56:47,0,216.165.95.171,100,140,1,2025-03-03 15:56:47,R_7dfOGuQiHaFKqDV,,,,,40.7359,-73.9904,anonymous,EN,6,3,2,1,3,2,1,3,2,1,3,2,1,1,190926,5
2025-03-03 15:31:14,2025-03-03 15:59:11,0,216.165.95.187,100,1677,1,2025-03-03 15:59:11,R_3uHT89QobU8Vl28,,,,,40.7359,-73.9904,anonymous,EN,2,1,3,2,1,3,2,1,3,2,1,3,2,2,678167,3
2025-03-03 15:56:48,2025-03-03 15:59:44,0,216.165.95.171,100,176,1,2025-03-03 15:59:45,R_56o7WJveWgBhDgW,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,1,2,3,2,1,3,2,1,4,190926,6
2025-03-03 15:59:47,2025-03-03 16:23:14,0,216.165.95.171,100,1407,1,2025-03-03 16:23:15,R_1t8Roag3PJDggx6,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,4,8299,4
2025-03-03 16:24:37,2025-03-03 16:26:32,0,216.165.95.171,100,114,1,2025-03-03 16:26:33,R_1DGANxMdwF3Ze6t,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,2,1,3,2,1,1,8299,5
2025-03-03 16:00:07,2025-03-03 16:29:22,0,216.165.95.187,100,1754,1,2025-03-03 16:29:22,R_38Tj1zhgA2Q5yP2,,,,,40.7359,-73.9904,anonymous,EN,2,1,2,3,1,3,2,2,3,1,2,3,1,2,76017,3
2025-03-03 16:26:56,2025-03-03 16:29:27,0,216.165.95.171,100,151,1,2025-03-03 16:29:28,R_1VEWt0jntmiEcn1,,,,,40.7359,-73.9904,anonymous,EN,3,3,1,2,3,1,2,3,1,2,3,1,2,2,8299,6
2025-03-03 16:57:51,2025-03-03 17:06:37,0,216.165.95.171,100,526,1,2025-03-03 17:06:37,R_5Q4L2IgjcBCRZ4d,,,,,40.7359,-73.9904,anonymous,EN,2,1,3,2,1,3,2,1,2,3,1,2,3,3,823480,4
2025-03-03 17:06:38,2025-03-03 17:10:17,0,216.165.95.171,100,219,1,2025-03-03 17:10:17,R_3ihxKGsY2CV1Cm4,,,,,40.7359,-73.9904,anonymous,EN,6,3,2,1,3,2,1,3,1,2,3,2,1,1,823480,5
2025-03-03 17:10:18,2025-03-03 17:13:54,0,216.165.95.171,100,215,1,2025-03-03 17:13:54,R_5Ej7YT3GmkNJ4r6,,,,,40.7359,-73.9904,anonymous,EN,3,1,3,2,1,3,2,1,3,2,1,3,2,1,823480,6
2025-03-03 16:29:29,2025-03-03 17:18:29,0,216.165.95.171,100,2939,1,2025-03-03 17:18:29,R_33hmYQq0wzqj2N3,,,,,40.7359,-73.9904,anonymous,EN,3,2,3,1,1,3,2,2,3,1,1,3,2,2,546343,1
2025-03-03 17:18:30,2025-03-03 17:22:44,0,216.165.95.171,100,254,1,2025-03-03 17:22:45,R_7aVSIbxGYyapmUP,,,,,40.7359,-73.9904,anonymous,EN,3,2,1,3,2,1,3,3,1,2,2,3,1,4,546343,2
2025-03-03 17:22:46,2025-03-03 17:25:21,0,216.165.95.171,100,155,1,2025-03-03 17:25:22,R_5rAk98QHRuE3nzz,,,,,40.7359,-73.9904,anonymous,EN,6,2,1,3,3,2,1,3,1,2,2,3,1,4,546343,3
2025-03-05 12:21:34,2025-03-05 12:26:00,0,216.165.95.155,100,266,1,2025-03-05 12:26:01,R_5CiwtbYhyPEs5lD,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,2,1,3,2,1,4,973807,4
2025-03-05 12:27:29,2025-03-05 12:29:47,0,216.165.95.155,100,137,1,2025-03-05 12:29:47,R_7n6mb6mZur794eJ,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,2,1,3,2,1,3,1,2,3,973807,5
2025-03-05 11:52:39,2025-03-05 12:30:30,0,216.165.95.169,100,2271,1,2025-03-05 12:30:30,R_5wuahTau4svuM1J,,,,,40.7359,-73.9904,anonymous,EN,3,1,3,2,1,2,3,3,2,1,3,2,1,2,504071,1
2025-03-05 12:29:48,2025-03-05 12:33:03,0,216.165.95.155,100,194,1,2025-03-05 12:33:03,R_37IigHnTyzBzFnO,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,2,1,3,2,1,2,973807,6
2025-03-05 12:30:31,2025-03-05 12:33:43,0,216.165.95.169,100,191,1,2025-03-05 12:33:43,R_6F39cVKeRloJdDQ,,,,,40.7359,-73.9904,anonymous,EN,6,2,3,1,1,2,3,2,3,1,2,3,1,3,504071,2
2025-03-05 12:33:44,2025-03-05 12:36:53,0,216.165.95.169,100,189,1,2025-03-05 12:36:54,R_70c1HzNfBZY22rf,,,,,40.7359,-73.9904,anonymous,EN,6,3,2,1,2,3,1,3,2,1,3,2,1,2,504071,3
2025-03-05 13:08:42,2025-03-05 13:27:14,0,216.165.95.155,100,1112,1,2025-03-05 13:27:14,R_6fDRft1DI6CiByN,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,1,2,3,2,1,1,2,3,3,333114,4
2025-03-05 13:27:15,2025-03-05 13:32:20,0,216.165.95.155,100,304,1,2025-03-05 13:32:20,R_3eV0G2z9j4RqtbP,,,,,40.7359,-73.9904,anonymous,EN,3,3,2,1,3,2,1,3,2,1,3,2,1,3,333114,5
2025-03-05 13:32:22,2025-03-05 13:36:06,0,216.165.95.155,100,224,1,2025-03-05 13:36:06,R_7FKvCUki44WTnwL,,,,,40.7359,-73.9904,anonymous,EN,6,3,1,2,3,1,2,3,1,2,3,1,2,2,333114,6
2025-03-05 13:10:41,2025-03-05 13:40:04,0,216.165.95.169,100,1762,1,2025-03-05 13:40:04,R_7Uhzurfn9ELrfXP,,,,,40.7359,-73.9904,anonymous,EN,6,1,3,2,2,1,3,3,1,2,2,1,3,2,734419,1
